,,sgd_fold_0,sgd_fold_1,sgd_fold_2,sgd_fold_3,sgd_fold_4
PNPLA2,cnv_del,0.017321604617087188,0.007920049260442128,0.003827299953438789,0.014669535024627188,0.03698465993114192
PNPLA2,cnv_amp,0.02945987295826742,0.029727257178414245,7.50176751757323e-05,0.0025968020936605585,0.03249629332081765
FDXACB1,mut_important,0.038580916057718496,0.032808396893132405,0.04107685421081562,0.0,0.03325506651541697
FDXACB1,cnv_del,0.012410685626149992,0.0063921133476923615,0.02174953257725976,0.0026444210641512534,0.0021238670223378132
FDXACB1,cnv_amp,0.01731227691925099,0.009258498233887191,2.1589989054101335e-06,0.01021066591733633,0.013031713603318394
KRBA2,mut_important,0.02136216283747875,0.015398668894691703,0.015283950387805742,0.019708098924397923,0.0
KRBA2,cnv_del,0.0,0.0,0.0,0.0,0.0
KRBA2,cnv_amp,0.0,0.0,0.0,0.0,0.0
PLA2G6,mut_important,0.020152031007178377,0.012712090670045379,0.015283950387805742,0.017449935587402876,0.00016985772621166202
PLA2G6,cnv_del,0.0,0.0,0.0,0.0,0.0
PLA2G6,cnv_amp,0.0,0.0,0.0,0.0,0.0
DDX4,mut_important,0.0003321735367022676,0.0004738501283741598,0.0009300872087277461,0.02809167797083663,0.0
DDX4,cnv_del,0.0191488392885371,0.0288379035415084,0.029471443838540314,0.06689275257851422,0.0300762567815651
DDX4,cnv_amp,0.002406872939733729,0.06517355448862706,0.034833848194507536,0.020981331805473333,0.01559430117303576
OR4D2,mut_important,0.023814769751279864,0.0,0.024623774120566374,0.024793094389242838,0.027162399864322378
OR4D2,cnv_del,0.0,0.0,0.0,0.0,0.0
OR4D2,cnv_amp,0.0,0.0,0.0,0.0,0.0
NISCH,mut_important,0.01233319715379376,0.09292770089003756,0.10885374091047322,0.06050698625849559,0.08430682999663522
NISCH,cnv_del,0.047771080620127734,0.012283771165976514,0.003556784471037162,0.033299092599830854,0.02726711804545175
NISCH,cnv_amp,0.02184790040663084,0.01867154397816597,0.003640224892781502,0.004575650346302653,0.0019983727836323257
GRK4,mut_important,0.0172983678237073,0.0044802006251115755,0.028086612044379775,0.019880757175469513,0.022391374213067593
GRK4,cnv_del,0.024294866532200015,0.037666555242982604,0.02770457852259284,0.002675403163556826,0.056404977118106575
GRK4,cnv_amp,0.01621929366879332,0.0005934186864281605,0.06564547378985502,0.011480599728331585,0.047062585352102095
POU5F2,mut_important,0.028086612225667495,0.0021189348782250823,0.0,0.02807636160566984,2.0711562673477166e-05
POU5F2,cnv_del,0.029580052891432607,0.05318945136477188,0.015444079572866991,0.018313531556458124,0.029674056438686043
POU5F2,cnv_amp,0.045013004849861746,0.0758048245119701,0.04110065988307267,0.052958873618655075,0.023912392975015594
OLFML3,mut_important,0.024423602403222444,0.04629768866886829,0.01838461038683004,0.008451807893334929,0.016212960182399122
OLFML3,cnv_del,0.005917136149176869,0.013509010485390223,0.0015817248335593154,0.004407983411330968,0.00018252073543525182
OLFML3,cnv_amp,0.024455228402760834,0.023448121255301064,0.009788666731193295,0.03230820549704957,0.04667746602734015
LSS,mut_important,0.1303820550878342,0.08855006490196314,0.1162271678342668,0.06364083082458509,0.014670036922246932
LSS,cnv_del,0.0,0.0,0.0,0.0,0.0
LSS,cnv_amp,0.0,0.0,0.0,0.0,0.0
ADAT2,mut_important,0.0,0.0,0.0,0.0,0.0
ADAT2,cnv_del,0.0006383548303476081,0.027595072977195795,0.0008257502698593503,0.012666686510244224,0.03112922653509484
ADAT2,cnv_amp,0.03710302898495186,0.03658358857151681,0.03099894333868977,0.0592303250225615,0.0
TXN2,mut_important,0.0,0.0015441310664441614,0.011949520256586443,0.014310370948605732,0.0025200686238748
TXN2,cnv_del,0.0,0.0,0.0,0.0,0.0
TXN2,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF429,mut_important,0.029055451144566886,0.02770745577302695,0.007769217339511898,0.011155058907510736,0.018217968355401567
