,,coef
TDO2,cnv_amp,8.881784197001252e-15
RPL5,mut_important,-1.071143174158351e-12
RPL5,cnv_del,1.552535877635819e-12
RPL5,cnv_amp,0.0
ARHGAP29,mut_important,-5.859895901849654e-15
ARHGAP29,cnv_del,-2.708944180085382e-13
ARHGAP29,cnv_amp,0.0
KPNA3,mut_important,3.084199562408685e-13
KPNA3,cnv_del,0.0
KPNA3,cnv_amp,0.0
CPNE2,mut_important,0.0
CPNE2,cnv_del,0.0
CPNE2,cnv_amp,0.0
TBL3,mut_important,2.859934511434403e-13
TBL3,cnv_del,0.0
TBL3,cnv_amp,0.0
ENTPD1,mut_important,1.0380585280245214e-14
ENTPD1,cnv_del,-8.113509863960644e-13
ENTPD1,cnv_amp,-5.822009541134321e-13
MAT1A,mut_important,-8.693046282814976e-14
MAT1A,cnv_del,-6.821210263296962e-13
MAT1A,cnv_amp,3.352873534367973e-14
RAB11A,mut_important,-3.859759734048396e-15
RAB11A,cnv_del,0.0
RAB11A,cnv_amp,0.0
ARHGAP6,mut_important,-4.6351811278100286e-14
ARHGAP6,cnv_del,0.0
ARHGAP6,cnv_amp,0.0
HHAT,mut_important,0.0
HHAT,cnv_del,0.0
HHAT,cnv_amp,0.0
HSPA12A,mut_important,-1.014299755297543e-12
HSPA12A,cnv_del,0.0
HSPA12A,cnv_amp,-1.3846701563124952e-12
TIGD1,mut_important,0.0
TIGD1,cnv_del,0.0
TIGD1,cnv_amp,0.0
TNKS,mut_important,6.896705428971472e-13
TNKS,cnv_del,-6.153300091682468e-12
TNKS,cnv_amp,-2.5224267119483557e-13
NPAS3,mut_important,0.0
NPAS3,cnv_del,0.0
NPAS3,cnv_amp,0.0
MRPL13,mut_important,3.537448112211905e-14
MRPL13,cnv_del,0.0
MRPL13,cnv_amp,2.3092638912203256e-14
THOC6,mut_important,-5.5844218138645374e-14
THOC6,cnv_del,0.0
THOC6,cnv_amp,0.0
MYF6,mut_important,0.0
MYF6,cnv_del,0.0
MYF6,cnv_amp,0.0
PPP2CA,mut_important,1.0409451078885468e-12
PPP2CA,cnv_del,-1.4264145420384011e-12
PPP2CA,cnv_amp,-9.116263299802085e-12
INO80,mut_important,-2.319255898441952e-13
INO80,cnv_del,0.0
INO80,cnv_amp,0.0
SDR9C7,mut_important,0.0
SDR9C7,cnv_del,0.0
SDR9C7,cnv_amp,0.0
HTR2A,mut_important,2.2398749521812533e-14
HTR2A,cnv_del,0.0
HTR2A,cnv_amp,0.0
ZMYND15,mut_important,0.0
ZMYND15,cnv_del,0.0
ZMYND15,cnv_amp,0.0
TCF25,mut_important,0.0
TCF25,cnv_del,0.0
TCF25,cnv_amp,0.0
ZNF438,mut_important,0.0
ZNF438,cnv_del,0.0
ZNF438,cnv_amp,0.0
GAST,mut_important,1.6708856520608606e-14
GAST,cnv_del,0.0
GAST,cnv_amp,0.0
PAFAH1B2,mut_important,0.0
PAFAH1B2,cnv_del,-1.6631140908884845e-13
PAFAH1B2,cnv_amp,-1.3697376566312869e-14
NUP98,mut_important,-5.329070518200751e-12
NUP98,cnv_del,-3.0260238759183267e-12
NUP98,cnv_amp,-3.694822225952521e-13
FAM47A,mut_important,0.0
FAM47A,cnv_del,0.0
FAM47A,cnv_amp,0.0
TNFRSF10A,mut_important,7.127631818093505e-14
TNFRSF10A,cnv_del,-4.675371201301459e-12
TNFRSF10A,cnv_amp,-6.417089082333405e-14
TAB3,mut_important,6.750155989720952e-13
TAB3,cnv_del,0.0
TAB3,cnv_amp,0.0
SH3GLB1,mut_important,0.0
SH3GLB1,cnv_del,0.0
SH3GLB1,cnv_amp,0.0
DDB2,mut_important,-2.9368868448287344e-15
DDB2,cnv_del,-5.4511950509095186e-14
DDB2,cnv_amp,-2.4091839634365897e-14
BAX,mut_important,1.9181878307961142e-13
BAX,cnv_del,0.0
BAX,cnv_amp,0.0
RBM15B,mut_important,0.0
RBM15B,cnv_del,0.0
RBM15B,cnv_amp,0.0
ATP2B1,mut_important,3.042011087472929e-14
ATP2B1,cnv_del,0.0
ATP2B1,cnv_amp,0.0
DAGLA,mut_important,-1.2975731600306517e-15
DAGLA,cnv_del,-7.188694084447889e-15
DAGLA,cnv_amp,1.522393322517246e-14
USP44,mut_important,-8.881784197001252e-16
USP44,cnv_del,0.0
USP44,cnv_amp,0.0
CNBP,mut_important,0.0
CNBP,cnv_del,0.0
CNBP,cnv_amp,0.0
VOPP1,mut_important,0.0
VOPP1,cnv_del,0.0
VOPP1,cnv_amp,0.0
RIOK2,mut_important,0.0
RIOK2,cnv_del,-9.983125437429408e-13
RIOK2,cnv_amp,-1.5232259897857148e-12
PIGT,mut_important,-1.0835776720341528e-13
PIGT,cnv_del,0.0
PIGT,cnv_amp,0.0
PRRC1,mut_important,0.0
PRRC1,cnv_del,0.0
PRRC1,cnv_amp,0.0
ZFP36L1,mut_important,-1.404432126150823e-14
ZFP36L1,cnv_del,0.0
ZFP36L1,cnv_amp,0.0
KCNJ11,mut_important,-8.748557434046234e-14
KCNJ11,cnv_del,0.0
KCNJ11,cnv_amp,7.72715225139109e-14
CATSPER2,mut_important,2.92300905702092e-16
CATSPER2,cnv_del,0.0
CATSPER2,cnv_amp,0.0
IL11RA,mut_important,-6.938893903907228e-17
IL11RA,cnv_del,-4.618527782440651e-14
IL11RA,cnv_amp,-6.061817714453355e-14
RANBP10,mut_important,1.6479873021779667e-15
RANBP10,cnv_del,0.0
RANBP10,cnv_amp,0.0
DAPK3,mut_important,2.0326622329758237e-15
DAPK3,cnv_del,0.0
DAPK3,cnv_amp,0.0
HIRIP3,mut_important,0.0
HIRIP3,cnv_del,0.0
HIRIP3,cnv_amp,0.0
SLK,mut_important,0.0
SLK,cnv_del,0.0
SLK,cnv_amp,0.0
CDK8,mut_important,5.206338832275392e-16
CDK8,cnv_del,0.0
CDK8,cnv_amp,0.0
FAM24B,mut_important,0.0
FAM24B,cnv_del,0.0
FAM24B,cnv_amp,0.0
SLC35D2,mut_important,5.800915303666443e-15
SLC35D2,cnv_del,-2.5646151868841116e-14
SLC35D2,cnv_amp,-4.4575454438700035e-14
TSR1,mut_important,1.2151737949217534e-15
TSR1,cnv_del,0.0
TSR1,cnv_amp,0.0
FAF1,mut_important,0.0
FAF1,cnv_del,0.0
FAF1,cnv_amp,0.0
UGT2B28,mut_important,0.0
UGT2B28,cnv_del,0.0
UGT2B28,cnv_amp,0.0
ZBTB4,mut_important,0.0
ZBTB4,cnv_del,0.0
ZBTB4,cnv_amp,0.0
PCDH1,mut_important,0.0
PCDH1,cnv_del,0.0
PCDH1,cnv_amp,0.0
ZDHHC21,mut_important,0.0
ZDHHC21,cnv_del,-8.98586760555986e-16
ZDHHC21,cnv_amp,-9.610368056911511e-15
ZNF768,mut_important,0.0
ZNF768,cnv_del,0.0
ZNF768,cnv_amp,0.0
COMMD10,mut_important,6.52811138479592e-13
COMMD10,cnv_del,6.794564910705958e-13
COMMD10,cnv_amp,7.611689056830073e-13
ACTL6B,mut_important,1.2234657731369225e-13
ACTL6B,cnv_del,5.362377208939506e-14
ACTL6B,cnv_amp,-1.0880185641326534e-13
EPS8L2,mut_important,0.0
EPS8L2,cnv_del,0.0
EPS8L2,cnv_amp,0.0
DNAJA3,mut_important,0.0
DNAJA3,cnv_del,0.0
DNAJA3,cnv_amp,0.0
UFL1,mut_important,0.0
UFL1,cnv_del,-1.2212453270876722e-15
UFL1,cnv_amp,-6.349087922075114e-15
GPR39,mut_important,0.0
GPR39,cnv_del,0.0
GPR39,cnv_amp,0.0
MRPS35,mut_important,3.282096816548119e-15
MRPS35,cnv_del,0.0
MRPS35,cnv_amp,0.0
PKIA,mut_important,0.0
PKIA,cnv_del,0.0
PKIA,cnv_amp,0.0
UQCRHL,mut_important,0.0
UQCRHL,cnv_del,0.0
UQCRHL,cnv_amp,0.0
NDUFB8,mut_important,0.0
NDUFB8,cnv_del,-4.143352327901084e-13
NDUFB8,cnv_amp,3.602673714908633e-14
LRRC23,mut_important,0.0
LRRC23,cnv_del,0.0
LRRC23,cnv_amp,0.0
PRAMEF2,mut_important,0.0
PRAMEF2,cnv_del,0.0
PRAMEF2,cnv_amp,0.0
MGAM,mut_important,-7.195632978351796e-15
MGAM,cnv_del,-2.3994695119711196e-14
MGAM,cnv_amp,-4.879430193227563e-14
TRIM3,mut_important,0.0
TRIM3,cnv_del,0.0
TRIM3,cnv_amp,0.0
NFATC2IP,mut_important,0.0
NFATC2IP,cnv_del,0.0
