,coef
R-HSA-3296197,0.0
R-HSA-375276,-0.7590035
R-HSA-375280,-0.18577354
R-HSA-375281,-0.5275464
R-HSA-391903,0.0
R-HSA-418038,8.5739575e-14
R-HSA-419408,1.5113249
R-HSA-419771,-0.0068971175
R-HSA-444209,0.0
R-HSA-419812,-7.7665874e-07
R-HSA-420092,0.67460907
R-HSA-379397,5.9348136e-19
R-HSA-379398,4.3310332e-19
R-HSA-380287,0.963006
R-HSA-380612,1.02371e-14
R-HSA-389357,0.12650214
R-HSA-389359,0.002234189
R-HSA-389957,9.644564e-06
R-HSA-389960,-1.1305062e-08
R-HSA-390450,5.6298584e-09
R-HSA-389599,3.8945644e-12
R-HSA-389887,-1.0608003e-19
R-HSA-390247,-1.3611276e-11
R-HSA-392451,0.05246043
R-HSA-418217,0.12069177
R-HSA-399719,1.9949132e-08
R-HSA-399710,5.8978825e-17
R-HSA-434316,2.385367e-12
R-HSA-416550,0.18935572
R-HSA-416572,0.54631126
R-HSA-4608870,0.5807734
R-HSA-5099900,0.06960144
R-HSA-5140745,-0.0029185354
R-HSA-881907,0.86374694
R-HSA-381753,0.0
R-HSA-420597,0.0
R-HSA-432720,1.7327191
R-HSA-432722,4.0152707
R-HSA-435354,9.324044e-07
R-HSA-427589,-9.459956e-16
R-HSA-438064,-1.983103e-07
R-HSA-5218920,0.0011180533
R-HSA-5218921,3.0396377e-05
R-HSA-438066,-2.6226998e-10
R-HSA-448706,0.063289694
R-HSA-9007892,0.012054231
R-HSA-9008059,0.7810366
R-HSA-9012546,0.03199922
R-HSA-9014826,0.0021459884
R-HSA-9014843,0.01820008
R-HSA-8984722,0.24400687
R-HSA-9020591,1.4768317
R-HSA-9020933,-0.032568146
R-HSA-9020956,0.22820204
R-HSA-451306,3.5802897e-23
R-HSA-500657,3.4332473e-10
R-HSA-8983432,0.34617475
R-HSA-8985947,-0.037186913
R-HSA-9020558,0.7614147
R-HSA-9020958,0.004273569
R-HSA-912526,0.9439836
R-HSA-5467340,0.547626
R-HSA-5467345,0.008787169
R-HSA-5358747,0.54220635
R-HSA-5358749,0.74008787
R-HSA-5358751,0.6107795
R-HSA-5358752,0.50683993
R-HSA-5467333,0.14121671
R-HSA-5467337,0.37818727
R-HSA-5467343,0.0
R-HSA-5467348,0.28974503
R-HSA-912631,0.13022979
R-HSA-901042,9.07312e-11
R-HSA-549127,0.0
R-HSA-561048,0.0
R-HSA-5607761,0.4610787
R-HSA-5607763,0.052948605
R-HSA-5660668,-9.535472e-09
R-HSA-5625886,1.3485529e-09
R-HSA-5637810,0.33016026
R-HSA-1236382,0.42634618
R-HSA-5638303,0.002256651
R-HSA-5654687,0.18419407
R-HSA-5654696,0.13681328
R-HSA-5654708,0.025206733
R-HSA-5654716,0.019430462
R-HSA-5654726,0.15954387
R-HSA-5654727,0.06389843
R-HSA-5654732,-0.016709281
R-HSA-5654733,0.042746827
R-HSA-5658623,0.00017191576
R-HSA-6803529,0.16071719
R-HSA-1839128,0.0104609765
R-HSA-8853334,-0.048601303
R-HSA-8853338,0.30415672
R-HSA-5658442,2.8407824
R-HSA-5673000,0.5961069
R-HSA-5674135,0.34883893
R-HSA-5675221,0.30883983
R-HSA-5218900,-3.473166e-07
R-HSA-5685942,2.0147488
R-HSA-5685938,0.7984174
R-HSA-5693607,0.9751355
R-HSA-6799198,-7.2707146e-11
R-HSA-844455,9.8993894e-08
R-HSA-844456,0.39863324
R-HSA-844615,0.0050005596
R-HSA-844623,0.015987318
R-HSA-1059683,0.09229129
R-HSA-6788467,0.06455176
R-HSA-5659996,0.0
R-HSA-6791055,0.0
R-HSA-6791461,0.0
R-HSA-6791462,0.0
R-HSA-8943723,0.06071653
R-HSA-8943724,0.7328289
R-HSA-8948747,0.15427952
R-HSA-8948751,1.4379851
R-HSA-68616,0.0
R-HSA-68689,9.05769e-11
R-HSA-68827,0.0005097534
R-HSA-162658,0.008248562
R-HSA-2299718,1.402123
R-HSA-2465910,0.16790497
R-HSA-2500257,3.1664798
R-HSA-2514853,0.028145587
R-HSA-380320,1.9304013
R-HSA-2470946,0.101896115
R-HSA-69091,0.009339655
R-HSA-69183,-3.7148982e-06
R-HSA-187577,0.8396203
R-HSA-69205,0.024815332
R-HSA-69231,1.1965679
R-HSA-69273,0.17668258
R-HSA-156711,-0.0018621803
R-HSA-2565942,0.6863111
R-HSA-8852276,0.3139354
R-HSA-8854050,0.5945823
R-HSA-8854518,0.7081288
R-HSA-8854521,0.0
R-HSA-75035,-0.05847404
R-HSA-69563,-0.5683845
R-HSA-69610,-0.14531574
R-HSA-170822,-0.00019541736
R-HSA-204174,-2.5856154e-19
R-HSA-72662,0.43483517
R-HSA-72689,0.38358334
R-HSA-72695,0.11453148
R-HSA-72702,0.18061148
R-HSA-72706,0.51902837
R-HSA-72731,0.007404185
R-HSA-110330,-2.6116908e-16
R-HSA-110331,7.8600327e-16
R-HSA-110328,-6.743434e-13
R-HSA-110329,-5.172818e-12
R-HSA-2393930,-1.5011213e-13
R-HSA-74713,0.0016657745
R-HSA-74749,0.07302573
R-HSA-75876,1.597476e-08
R-HSA-69229,-0.0926303
R-HSA-77286,-2.7109033e-16
R-HSA-71032,4.398062e-08
R-HSA-77288,0.0
R-HSA-877312,0.07490136
R-HSA-6811434,1.7790114
R-HSA-6811436,1.2498702
R-HSA-1358803,0.0050397757
R-HSA-8866904,0.40704358
R-HSA-8866906,2.9890933e-11
R-HSA-8866907,0.07075844
R-HSA-8866910,0.04056469
R-HSA-8866911,0.8693826
R-HSA-8869496,0.0003042843
R-HSA-8874081,1.6250322e-05
R-HSA-8875513,-1.9575768e-09
R-HSA-8875555,-7.3997293e-09
R-HSA-8941855,-0.31392857
R-HSA-8941856,0.5164348
R-HSA-8941858,1.0900351
R-HSA-8949275,0.12292357
R-HSA-8951430,2.464338
R-HSA-8951671,-2.1127291e-11
R-HSA-8951911,0.09334577
R-HSA-8951936,0.36897278
R-HSA-8952158,-0.0074908417
R-HSA-8939902,1.3213413
