,,coef
OR5AN1,cnv_amp,0.0
CSDE1,mut_important,0.0
CSDE1,cnv_del,0.0
CSDE1,cnv_amp,0.0
RAB24,mut_important,-0.0003726845
RAB24,cnv_del,0.0
RAB24,cnv_amp,0.008178595
PSG8,mut_important,0.0
PSG8,cnv_del,0.0
PSG8,cnv_amp,0.0
CHUK,mut_important,0.00091130857
CHUK,cnv_del,0.003391626
CHUK,cnv_amp,-0.0058736284
RAB25,mut_important,-1.225394e-14
RAB25,cnv_del,-6.643832e-14
RAB25,cnv_amp,-7.538483e-12
TSR1,mut_important,-2.4663027e-09
TSR1,cnv_del,-2.8272737e-08
TSR1,cnv_amp,-4.4718753e-11
STX1A,mut_important,-0.00011388453
STX1A,cnv_del,0.0
STX1A,cnv_amp,0.005683844
TMEM38A,mut_important,0.0
TMEM38A,cnv_del,0.0
TMEM38A,cnv_amp,0.0
ALG11,mut_important,0.0
ALG11,cnv_del,0.0
ALG11,cnv_amp,0.0
PLEKHA4,mut_important,1.0670311e-05
PLEKHA4,cnv_del,-2.2510349e-07
PLEKHA4,cnv_amp,1.2632402e-06
MRFAP1,mut_important,0.0
MRFAP1,cnv_del,0.0
MRFAP1,cnv_amp,0.0
CARD6,mut_important,0.0
CARD6,cnv_del,0.0
CARD6,cnv_amp,0.0
HES3,mut_important,0.0
HES3,cnv_del,0.0
HES3,cnv_amp,0.0
SP2,mut_important,0.0
SP2,cnv_del,0.0
SP2,cnv_amp,0.0
CYCS,mut_important,0.0
CYCS,cnv_del,0.0
CYCS,cnv_amp,0.16572975
ZNF575,mut_important,0.0
ZNF575,cnv_del,0.0
ZNF575,cnv_amp,0.0
HS6ST1,mut_important,-5.9722427e-10
HS6ST1,cnv_del,-1.2748121e-09
HS6ST1,cnv_amp,3.0729568e-11
TRIML2,mut_important,0.0
TRIML2,cnv_del,0.0
TRIML2,cnv_amp,0.0
LRRC8D,mut_important,-5.9341538e-27
LRRC8D,cnv_del,-4.512209e-27
LRRC8D,cnv_amp,-1.4413955e-27
CRAT,mut_important,6.66499e-24
CRAT,cnv_del,-1.1397729e-24
CRAT,cnv_amp,7.933818e-23
OMG,mut_important,-1.02776497e-25
OMG,cnv_del,8.5194556e-24
OMG,cnv_amp,-1.2955153e-21
CSRP3,mut_important,0.0
CSRP3,cnv_del,0.0
CSRP3,cnv_amp,0.0
DYNLL2,mut_important,0.0
DYNLL2,cnv_del,0.09377208
DYNLL2,cnv_amp,-1.1574256
PIP5KL1,mut_important,0.0
PIP5KL1,cnv_del,0.0
PIP5KL1,cnv_amp,0.0
FOXP4,mut_important,0.0
FOXP4,cnv_del,0.0
FOXP4,cnv_amp,0.0
KLK4,mut_important,0.0
KLK4,cnv_del,0.0
KLK4,cnv_amp,0.0
COASY,mut_important,-1.2391168e-36
COASY,cnv_del,1.5247033e-35
COASY,cnv_amp,-6.815785e-35
ZNF138,mut_important,0.0
ZNF138,cnv_del,0.0
ZNF138,cnv_amp,0.0
CLK2,mut_important,0.0
CLK2,cnv_del,0.0
CLK2,cnv_amp,0.0
FADD,mut_important,-0.00010270977
FADD,cnv_del,4.2864176e-05
FADD,cnv_amp,-0.013858101
CYP8B1,mut_important,4.5967004e-06
CYP8B1,cnv_del,-7.685061e-07
CYP8B1,cnv_amp,4.2153202e-05
ATG16L2,mut_important,0.0
ATG16L2,cnv_del,0.0
ATG16L2,cnv_amp,0.0
IL1A,mut_important,-0.13323244
IL1A,cnv_del,-0.047995135
IL1A,cnv_amp,0.050436184
CC2D1B,mut_important,0.0
CC2D1B,cnv_del,0.0
CC2D1B,cnv_amp,0.0
DMC1,mut_important,0.012700371
DMC1,cnv_del,0.0010655149
DMC1,cnv_amp,0.0035129334
PHC2,mut_important,-0.026405917
PHC2,cnv_del,-0.0025740257
PHC2,cnv_amp,-0.021098103
ERLEC1,mut_important,0.00054046814
ERLEC1,cnv_del,-0.00011861894
ERLEC1,cnv_amp,-0.0015847983
PQLC3,mut_important,0.0
PQLC3,cnv_del,0.0
PQLC3,cnv_amp,0.0
JAM2,mut_important,-0.00017977502
JAM2,cnv_del,0.0006537131
JAM2,cnv_amp,-0.00049014104
RAB6A,mut_important,0.0
RAB6A,cnv_del,-0.013644033
RAB6A,cnv_amp,-0.04766786
