,,nn_fold_0,nn_fold_1,nn_fold_2,nn_fold_3,nn_fold_4
FBLN1,cnv_del,2.1398425e-21,1.149073e-10,3.4223473e-13,0.00024952387,1.7863017e-11
FBLN1,cnv_amp,1.0723552e-23,1.4524989e-13,8.2799885e-15,2.069945e-07,2.7927374e-14
KLHL3,mut_important,0.004240445,0.0065051797,0.00011265231,5.1441744e-05,0.003341716
KLHL3,cnv_del,0.00011360318,0.0070038056,6.0386938e-06,0.00049906207,0.027086917
KLHL3,cnv_amp,0.0049416823,0.018348876,0.00010426342,0.0022365379,0.070095114
OR8K3,mut_important,0.0,0.0,0.0,0.0,0.0
OR8K3,cnv_del,0.0,0.0,0.0,0.0,0.0
OR8K3,cnv_amp,0.0,0.0,0.0,0.0,0.0
ULK1,mut_important,0.037097186,0.019546764,0.019664362,0.020359173,0.08326867
ULK1,cnv_del,0.031442773,0.006191242,0.0042153033,0.010592588,0.04894573
ULK1,cnv_amp,0.0044306973,0.060269788,0.018967103,0.020049514,0.009423604
POM121,mut_important,0.18377736,0.38274178,0.17907175,0.179009,0.1566931
POM121,cnv_del,0.09050276,0.1501377,0.08352164,0.0014219715,0.063329
POM121,cnv_amp,0.7980071,0.89985746,0.27575967,0.4744558,0.20940335
ZBTB5,mut_important,0.0,0.0,0.0,0.0,0.0
ZBTB5,cnv_del,0.0,0.0,0.0,0.0,0.0
ZBTB5,cnv_amp,0.0,0.0,0.0,0.0,0.0
SBDS,mut_important,0.0,0.0,0.0,0.0,0.0
SBDS,cnv_del,0.0,0.0,0.0,0.0,0.0
SBDS,cnv_amp,0.0,0.0,0.0,0.0,0.0
OASL,mut_important,0.0,0.0,0.0,0.0,0.0
OASL,cnv_del,0.0,0.0,0.0,0.0,0.0
OASL,cnv_amp,0.0,0.0,0.0,0.0,0.0
CCDC73,mut_important,0.0,0.0,0.0,0.0,0.0
CCDC73,cnv_del,0.0,0.0,0.0,0.0,0.0
CCDC73,cnv_amp,0.0,0.0,0.0,0.0,0.0
FOXO1,mut_important,0.0024238739,0.00295443,0.0036103143,0.01138475,0.006866324
FOXO1,cnv_del,0.17689861,0.46649736,0.24047153,0.5119511,0.64167523
FOXO1,cnv_amp,0.004282615,0.009418797,0.003394855,0.0012654307,0.006912833
SIRT1,mut_important,0.017856136,0.03055004,0.006227023,0.002339626,0.018574806
SIRT1,cnv_del,0.0027666776,0.022081416,0.018239517,0.019858649,0.0035183863
SIRT1,cnv_amp,0.45828694,0.3700896,0.77619576,0.42733964,0.5617458
PAN3,mut_important,4.1075073e-06,1.3663145e-08,3.192325e-32,1.1610707e-09,4.21561e-14
PAN3,cnv_del,1.076124e-05,3.2941198e-08,8.4331305e-32,1.4668877e-09,5.2936916e-14
PAN3,cnv_amp,5.101323e-06,1.3047625e-09,6.6826954e-32,6.130914e-10,5.0899253e-14
