,,decision_tree_fold_0,decision_tree_fold_1,decision_tree_fold_2,decision_tree_fold_3,decision_tree_fold_4
BCL11B,cnv_amp,0.0,0.0,0.0,0.0,0.0
ITFG2,mut_important,0.0,0.0,0.0,0.0,0.0
ITFG2,cnv_del,0.0,0.0,0.0,0.0,0.0
ITFG2,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF195,mut_important,0.0,0.0,0.0,0.0,0.0
ZNF195,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF195,cnv_amp,0.0,0.0,0.0,0.0,0.0
TCP11,mut_important,0.0,0.0,0.0,0.0,0.0
TCP11,cnv_del,0.0,0.0,0.0,0.0,0.0
TCP11,cnv_amp,0.0,0.0,0.0,0.0,0.0
HSPB2,mut_important,0.0,0.0,0.0,0.0,0.0
HSPB2,cnv_del,0.0,0.0,0.0,0.0,0.0
HSPB2,cnv_amp,0.0,0.0,0.0,0.0,0.0
ZNF521,mut_important,0.0,0.0,0.01408197900489265,0.014151372109179437,0.0
ZNF521,cnv_del,0.0,0.0,0.0,0.0,0.0
ZNF521,cnv_amp,0.0,0.0,0.0,0.0,0.0
PPP6R3,mut_important,0.0,0.0,0.0,0.0,0.0
PPP6R3,cnv_del,0.0,0.0,0.0,0.0,0.0
PPP6R3,cnv_amp,0.0,0.0,0.0,0.0,0.0
CYYR1,mut_important,0.0,0.0,0.0,0.0,0.0
CYYR1,cnv_del,0.0,0.0,0.0,0.0,0.0
CYYR1,cnv_amp,0.0,0.0,0.0,0.0,0.0
RABGGTB,mut_important,0.0,0.0,0.0,0.0,0.0
RABGGTB,cnv_del,0.0,0.0,0.0,0.0,0.0
RABGGTB,cnv_amp,0.0,0.0,0.0,0.0,0.0
ANXA4,mut_important,0.0,0.0,0.0,0.0,0.0
ANXA4,cnv_del,0.0,0.0,0.0,0.0,0.0
ANXA4,cnv_amp,0.0,0.0,0.0,0.0,0.0
CYP27C1,mut_important,0.0,0.0,0.0,0.0,0.0
CYP27C1,cnv_del,0.0,0.0,0.0,0.0,0.0
CYP27C1,cnv_amp,0.0,0.0,0.0,0.0,0.0
MOB1A,mut_important,0.0,0.0,0.0,0.0,0.0
MOB1A,cnv_del,0.0,0.0,0.0,0.0,0.0
MOB1A,cnv_amp,0.0,0.0,0.0,0.0,0.0
PABPC5,mut_important,0.0,0.0,0.0,0.0,0.0
PABPC5,cnv_del,0.0,0.0,0.0,0.0,0.0
PABPC5,cnv_amp,0.0,0.0,0.0,0.0,0.0
COMMD10,mut_important,0.0,0.0,0.0,0.0,0.0
