GSEA,Program
-0.13496062,8.834533105073205e-12
0.49700429999999995,8.811440466161002e-12
0.13167973,8.771235820992374e-12
-0.11452181,8.766185694009111e-12
0.4041152,8.658543326767188e-12
-0.15488501,8.626110936660327e-12
-0.256825,8.494804859537907e-12
0.06979903,8.490985692333197e-12
0.5223127000000001,8.369438475597235e-12
0.029830618,8.311928922921652e-12
0.22337152,8.220979452744358e-12
-0.21270533,8.201306300748003e-12
-0.1978858,8.187583944163634e-12
0.015291426,8.134914963875419e-12
0.22191137,8.050073152858183e-12
-0.2354229,7.87636622590071e-12
-0.30376434,7.718270467194088e-12
0.28640740000000003,7.716316474670746e-12
-0.08599912,7.694250572505382e-12
0.38105267,7.678302438307583e-12
-0.052806668,7.648282007721719e-12
0.39077026,7.56913420829619e-12
-0.08132771400000001,7.548539571189392e-12
-0.020899452,7.457057193960281e-12
0.54060227,7.436939952754074e-12
0.31760900000000003,7.432676696339514e-12
-0.86938953,7.342748631344876e-12
-0.38450843,7.322498163375712e-12
-0.33028029999999997,7.2932104799861e-12
-0.053746242,7.278444513758586e-12
-0.16316856,7.261036216732464e-12
0.3948831,7.249667532960302e-12
0.04825161,7.224920661741408e-12
0.11923066,7.211440819498982e-12
-0.46971133,7.177192173912772e-12
-0.29768479999999997,7.120526390735904e-12
-0.17126113,7.080964981032167e-12
-0.3957456,7.066858209725521e-12
0.25659186,7.042366689802293e-12
0.05827536,7.01891877952221e-12
-0.009127106,7.009504088273388e-12
-0.44547546,6.994582690822426e-12
-0.4997054,6.947498132348073e-12
0.16017586,6.915058976819656e-12
-0.01930087,6.835421118012164e-12
-0.13844225,6.829603549363128e-12
0.06529016,6.800682643352247e-12
0.07023625,6.751438297314393e-12
0.14846177,6.7259975367051085e-12
0.005314152,6.648859240954152e-12
0.14427494,6.547067683999874e-12
-0.047005802,6.534683905101701e-12
-0.26835147,6.519096373835965e-12
-0.2441788,6.233927870441525e-12
0.3854868,6.228617621673037e-12
0.071537584,6.217870662794666e-12
0.15468058,6.2107652354370656e-12
-0.21608046,6.1820770724807505e-12
0.03371679,6.167649724275747e-12
-0.15642008,6.119726947417803e-12
-0.4686478,6.089728721292433e-12
0.041189797,6.0666582868407194e-12
0.25877738,6.055556056594469e-12
0.29949176,6.047917722185048e-12
0.032337587,6.018385789730019e-12
0.012197402,5.980105299840942e-12
-0.19455315,5.930189672653796e-12
-0.087163724,5.913225464837524e-12
-0.38101137,5.835488060459514e-12
0.88621,5.827827109783358e-12
-0.255885,5.8152593851446e-12
-0.14322874,5.786660040030256e-12
-0.050500594,5.761080501542892e-12
-0.040250104,5.724842822019128e-12
